model,point_idx,eps,delta,result,pred_class,ambiguous,solve_time_s,total_time_s,counterexample
20251030_112344_tiny_net_weights.json,0,0.1,0.1,sat,1,2,0.01728510856628418,0.02186417579650879,"[-0.6659554888915933, 0.7536264506874156]"
20251030_112344_tiny_net_weights.json,0,0.2,0.0,sat,1,4,0.02548384666442871,0.029956817626953125,"[-0.3659554888915933, 0.8102261552376274]"
20251030_112344_tiny_net_weights.json,0,0.2,0.1,sat,1,4,0.024343013763427734,0.02872610092163086,"[-0.3659554888915933, 0.8102261552376274]"
20251030_112344_tiny_net_weights.json,1,0.02,0.0,sat,0,2,0.021105289459228516,0.025411128997802734,"[1.072789951171517, 0.05677218215151042]"
20251030_112344_tiny_net_weights.json,1,0.02,0.1,sat,0,2,0.011700868606567383,0.01607990264892578,"[1.092421921894646, 0.05677218215151042]"
20251030_112344_tiny_net_weights.json,1,0.05,0.0,sat,0,3,0.009244203567504883,0.013668060302734375,"[1.1057183178662269, 0.02677218215151042]"
20251030_112344_tiny_net_weights.json,1,0.05,0.1,sat,0,3,0.009665727615356445,0.013941049575805664,"[1.1057183178662269, 0.02677218215151042]"
20251030_112344_tiny_net_weights.json,1,0.1,0.0,sat,0,3,0.009365081787109375,0.013671875,"[1.1061302441557397, 0.17677218215151042]"
20251030_112344_tiny_net_weights.json,1,0.1,0.1,sat,0,3,0.005001068115234375,0.009435176849365234,"[1.0745905520738637, 0.0]"
20251030_112344_tiny_net_weights.json,1,0.2,0.0,sat,0,4,0.022810935974121094,0.027302026748657227,"[1.0567355477517666, -0.0010116055099157913]"
20251030_112344_tiny_net_weights.json,1,0.2,0.1,sat,0,4,0.021144866943359375,0.025761127471923828,"[1.1109492700871277, 0.04570883733165706]"
20251030_112344_tiny_net_weights.json,2,0.02,0.0,sat,1,2,0.0026123523712158203,0.006819009780883789,"[0.6011513565709938, -0.85639684729544]"
20251030_112344_tiny_net_weights.json,2,0.02,0.1,sat,1,2,0.003933906555175781,0.00826406478881836,"[0.6157065639628871, -0.85639684729544]"
20251030_112344_tiny_net_weights.json,2,0.05,0.0,sat,1,3,0.008973836898803711,0.013226032257080078,"[0.5972538502481377, -0.8263968472954399]"
20251030_112344_tiny_net_weights.json,2,0.05,0.1,sat,1,3,0.01560211181640625,0.020038127899169922,"[0.6155675383503769, -0.8263968472954399]"
20251030_112344_tiny_net_weights.json,2,0.1,0.0,sat,1,3,0.006350994110107422,0.010513067245483398,"[0.6149831641768881, -0.77639684729544]"
20251030_112344_tiny_net_weights.json,2,0.1,0.1,sat,1,3,0.006150722503662109,0.010360002517700195,"[0.6149831641768881, -0.77639684729544]"
20251030_112344_tiny_net_weights.json,2,0.2,0.0,sat,1,4,0.02033400535583496,0.024736881256103516,"[0.4412431467342368, -0.67639684729544]"
20251030_112344_tiny_net_weights.json,2,0.2,0.1,sat,1,4,0.01772594451904297,0.0220339298248291,"[0.4412431467342368, -0.67639684729544]"
20251030_112344_tiny_net_weights.json,3,0.02,0.0,unsat,1,1,0.006191730499267578,0.010191202163696289,
20251030_112344_tiny_net_weights.json,3,0.02,0.1,unsat,1,1,0.006203889846801758,0.010349035263061523,
20251030_112344_tiny_net_weights.json,3,0.05,0.0,unsat,1,2,0.0068433284759521484,0.011088848114013672,
20251030_112344_tiny_net_weights.json,3,0.05,0.1,unsat,1,2,0.006903886795043945,0.010937929153442383,
20251030_112344_tiny_net_weights.json,3,0.1,0.0,sat,1,3,0.02880096435546875,0.03302288055419922,"[-0.7275188517294482, 0.635248154656583]"
20251030_112344_tiny_net_weights.json,3,0.1,0.1,sat,1,3,0.024260282516479492,0.028512001037597656,"[-0.7945755148555235, 0.635248154656583]"
20251030_112344_tiny_net_weights.json,3,0.2,0.0,sat,1,3,0.021445035934448242,0.025779008865356445,"[-0.8945755148555234, 0.5496159762950412]"
20251030_112344_tiny_net_weights.json,3,0.2,0.1,sat,1,3,0.01485896110534668,0.019232988357543945,"[-0.8228392383966789, 0.6502305747191814]"
20251030_112344_tiny_net_weights.json,4,0.02,0.0,unsat,1,2,0.008813858032226562,0.012845039367675781,
20251030_112344_tiny_net_weights.json,4,0.02,0.1,unsat,1,2,0.008854866027832031,0.01310276985168457,
20251030_112344_tiny_net_weights.json,4,0.05,0.0,unsat,1,2,0.0074579715728759766,0.011479854583740234,
